GO_ID,Description,Category,Count,Bg_Count,GeneRatio,BgRatio,RichFactor,P_value,Gene_List,FDR
GO:0008519,ammonium channel activity,MF,2,2,2/1038,2/6466,1,0.025749683,TGAM01_v203259;TGAM01_v206148,0.449154031
GO:0072488,ammonium transmembrane transport,BP,2,2,2/1038,2/6466,1,0.025749683,TGAM01_v203259;TGAM01_v206148,0.449154031
GO:0015696,ammonium transmembrane transport,BP,2,2,2/1038,2/6466,1,0.025749683,TGAM01_v203259;TGAM01_v206148,0.449154031
GO:0016208,AMP binding,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v205363,0.449154031
GO:0004017,AMP kinase activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v202837,0.528145699
GO:0004135,"amylo-alpha-1,6-glucosidase activity",MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v204119,0.449154031
GO:0005680,anaphase-promoting complex,CC,1,8,1/1038,8/6466,0.125,0.75358158,TGAM01_v200830,0.81773785
GO:0010997,anaphase-promoting complex binding,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v207922,0.528145699
GO:0070330,aromatase activity,MF,2,2,2/1038,2/6466,1,0.025749683,TGAM01_v205457;TGAM01_v209046,0.449154031
GO:0009073,aromatic amino acid family biosynthetic process,BP,1,6,1/1038,6/6466,0.166666667,0.650190137,TGAM01_v203202,0.747127675
GO:0004066,asparagine synthase (glutamine-hydrolyzing) activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v207179,0.449154031
GO:0004816,asparagine-tRNA ligase activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v201735,0.528145699
GO:0006421,asparaginyl-tRNA aminoacylation,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v201735,0.528145699
GO:0004072,aspartate kinase activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v200711,0.528145699
GO:0004190,aspartic-type endopeptidase activity,MF,4,31,4/1038,31/6466,0.129032258,0.756656235,TGAM01_v205997;TGAM01_v206422;TGAM01_v207107;TGAM01_v210533,0.819966204
GO:0005524,ATP binding,MF,99,512,99/1038,512/6466,0.193359375,0.022141032,TGAM01_v200020;TGAM01_v200035;TGAM01_v200244;TGAM01_v200246;TGAM01_v200276;TGAM01_v200417;TGAM01_v200558;TGAM01_v200561;TGAM01_v200619;TGAM01_v200713;TGAM01_v200787;TGAM01_v200798;TGAM01_v200984;TGAM01_v201027;TGAM01_v201589;TGAM01_v201633;TGAM01_v201635;TGAM01_v201735;TGAM01_v201736;TGAM01_v201803;TGAM01_v201857;TGAM01_v201878;TGAM01_v202417;TGAM01_v202429;TGAM01_v202431;TGAM01_v202800;TGAM01_v202810;TGAM01_v202837;TGAM01_v203080;TGAM01_v203089;TGAM01_v203140;TGAM01_v203142;TGAM01_v203277;TGAM01_v203620;TGAM01_v203947;TGAM01_v204172;TGAM01_v204320;TGAM01_v204351;TGAM01_v204393;TGAM01_v204459;TGAM01_v204795;TGAM01_v204824;TGAM01_v204858;TGAM01_v204860;TGAM01_v205164;TGAM01_v205257;TGAM01_v205262;TGAM01_v205356;TGAM01_v205700;TGAM01_v206275;TGAM01_v206278;TGAM01_v206280;TGAM01_v206289;TGAM01_v206503;TGAM01_v206585;TGAM01_v206674;TGAM01_v207015;TGAM01_v207172;TGAM01_v207407;TGAM01_v207471;TGAM01_v207824;TGAM01_v207906;TGAM01_v207924;TGAM01_v207988;TGAM01_v208055;TGAM01_v208262;TGAM01_v208322;TGAM01_v208404;TGAM01_v208634;TGAM01_v208702;TGAM01_v208743;TGAM01_v208754;TGAM01_v208771;TGAM01_v208804;TGAM01_v208806;TGAM01_v208865;TGAM01_v208947;TGAM01_v209074;TGAM01_v209285;TGAM01_v209380;TGAM01_v209392;TGAM01_v209557;TGAM01_v209628;TGAM01_v210008;TGAM01_v210152;TGAM01_v210153;TGAM01_v210156;TGAM01_v210254;TGAM01_v210277;TGAM01_v210433;TGAM01_v210581;TGAM01_v210582;TGAM01_v210585;TGAM01_v210605;TGAM01_v210665;TGAM01_v210840;TGAM01_v210999;TGAM01_v211146;TGAM01_v211150,0.449154031
GO:0016887,ATP hydrolysis activity,MF,21,95,21/1038,95/6466,0.221052632,0.073792346,TGAM01_v200276;TGAM01_v200798;TGAM01_v201027;TGAM01_v202431;TGAM01_v203140;TGAM01_v203142;TGAM01_v203620;TGAM01_v203947;TGAM01_v205356;TGAM01_v206289;TGAM01_v206585;TGAM01_v206674;TGAM01_v207015;TGAM01_v207924;TGAM01_v207988;TGAM01_v208754;TGAM01_v209392;TGAM01_v209628;TGAM01_v210008;TGAM01_v210153;TGAM01_v210582,0.449154031
GO:0046034,ATP metabolic process,BP,3,6,3/1038,6/6466,0.5,0.056436661,TGAM01_v208262;TGAM01_v210840;TGAM01_v210999,0.449154031
GO:0003879,ATP phosphoribosyltransferase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v211075,0.449154031
GO:0001671,ATPase activator activity,MF,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v205535,0.588877171
GO:0140326,ATPase-coupled intramembrane lipid transporter activity,MF,3,5,3/1038,5/6466,0.6,0.0319906,TGAM01_v202417;TGAM01_v204320;TGAM01_v207172,0.449154031
GO:0019829,ATPase-coupled monoatomic cation transmembrane transporter activity,MF,1,7,1/1038,7/6466,0.142857143,0.706397976,TGAM01_v208947,0.786737274
GO:0042626,ATPase-coupled transmembrane transporter activity,MF,2,10,2/1038,10/6466,0.2,0.49397354,TGAM01_v202388;TGAM01_v207407,0.647903765
GO:0070615,ATP-dependent chromatin remodeler activity,MF,7,28,7/1038,28/6466,0.25,0.150120324,TGAM01_v201589;TGAM01_v201803;TGAM01_v203142;TGAM01_v204172;TGAM01_v204351;TGAM01_v204860;TGAM01_v208634,0.449154031
GO:0004176,ATP-dependent peptidase activity,MF,2,5,2/1038,5/6466,0.4,0.184448128,TGAM01_v207015;TGAM01_v210257,0.468708376
GO:0008608,attachment of spindle microtubules to kinetochore,BP,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v204910,0.647903765
GO:0006914,autophagy,BP,2,9,2/1038,9/6466,0.222222222,0.436725192,TGAM01_v203072;TGAM01_v210583,0.622895789
GO:0048487,beta-tubulin binding,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v201650,0.528145699
GO:0009058,biosynthetic process,BP,9,54,9/1038,54/6466,0.166666667,0.508251542,TGAM01_v202539;TGAM01_v202992;TGAM01_v203202;TGAM01_v204668;TGAM01_v208639;TGAM01_v208789;TGAM01_v208898;TGAM01_v209323;TGAM01_v210377,0.651958448
GO:0009082,branched-chain amino acid biosynthetic process,BP,1,6,1/1038,6/6466,0.166666667,0.650190137,TGAM01_v210256,0.747127675
GO:0009081,branched-chain amino acid metabolic process,BP,2,5,2/1038,5/6466,0.4,0.184448128,TGAM01_v206455;TGAM01_v208803,0.468708376
GO:0004084,branched-chain-amino-acid transaminase activity,MF,2,5,2/1038,5/6466,0.4,0.184448128,TGAM01_v206455;TGAM01_v208803,0.468708376
GO:0034077,butanediol metabolic process,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v202660,0.449154031
GO:0005509,calcium ion binding,MF,8,40,8/1038,40/6466,0.2,0.307322305,TGAM01_v200136;TGAM01_v200654;TGAM01_v200683;TGAM01_v202917;TGAM01_v203210;TGAM01_v203725;TGAM01_v211074;TGAM01_v211131,0.542750138
GO:0070588,calcium ion transmembrane transport,BP,2,3,2/1038,3/6466,0.666666667,0.068995127,TGAM01_v208806;TGAM01_v210433,0.449154031
GO:0005227,calcium-activated cation channel activity,MF,2,5,2/1038,5/6466,0.4,0.184448128,TGAM01_v201679;TGAM01_v204117,0.468708376
GO:0008597,calcium-dependent protein serine/threonine phosphatase regulator activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v200683,0.449154031
GO:0006171,cAMP biosynthetic process,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v209516,0.449154031
GO:0030246,carbohydrate binding,MF,6,28,6/1038,28/6466,0.214285714,0.287566814,TGAM01_v203339;TGAM01_v205385;TGAM01_v205480;TGAM01_v207121;TGAM01_v208264;TGAM01_v209379,0.528145699
GO:0016052,carbohydrate catabolic process,BP,1,7,1/1038,7/6466,0.142857143,0.706397976,TGAM01_v210715,0.786737274
GO:0005975,carbohydrate metabolic process,BP,40,238,40/1038,238/6466,0.168067227,0.401117712,TGAM01_v200136;TGAM01_v201033;TGAM01_v201187;TGAM01_v201649;TGAM01_v201787;TGAM01_v202026;TGAM01_v202061;TGAM01_v203339;TGAM01_v203816;TGAM01_v203819;TGAM01_v204119;TGAM01_v204582;TGAM01_v204835;TGAM01_v205385;TGAM01_v205480;TGAM01_v205751;TGAM01_v206388;TGAM01_v206646;TGAM01_v207121;TGAM01_v207124;TGAM01_v207169;TGAM01_v207478;TGAM01_v207529;TGAM01_v207570;TGAM01_v208060;TGAM01_v208075;TGAM01_v208088;TGAM01_v208263;TGAM01_v208264;TGAM01_v208487;TGAM01_v208515;TGAM01_v208517;TGAM01_v208638;TGAM01_v208702;TGAM01_v209379;TGAM01_v209441;TGAM01_v209514;TGAM01_v209612;TGAM01_v210691;TGAM01_v211131,0.588877171
GO:0046835,carbohydrate phosphorylation,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v205257,0.449154031
GO:0016884,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v200825,0.528145699
GO:0016838,"carbon-oxygen lyase activity, acting on phosphates",MF,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v207465,0.647903765
GO:0016846,carbon-sulfur lyase activity,MF,1,18,1/1038,18/6466,0.055555556,0.95733169,TGAM01_v206062,0.9681672
GO:0019752,carboxylic acid metabolic process,BP,2,15,2/1038,15/6466,0.133333333,0.720049495,TGAM01_v201937;TGAM01_v209441,0.798618431
GO:0016831,carboxy-lyase activity,MF,6,20,6/1038,20/6466,0.3,0.087807769,TGAM01_v204667;TGAM01_v206023;TGAM01_v208090;TGAM01_v209289;TGAM01_v210814;TGAM01_v210815,0.449154031
GO:0003824,catalytic activity,MF,66,545,66/1038,545/6466,0.121100917,0.99713415,TGAM01_v200016;TGAM01_v200558;TGAM01_v200789;TGAM01_v200825;TGAM01_v201573;TGAM01_v201784;TGAM01_v201937;TGAM01_v202019;TGAM01_v202202;TGAM01_v202539;TGAM01_v202660;TGAM01_v202757;TGAM01_v202793;TGAM01_v202972;TGAM01_v202992;TGAM01_v203202;TGAM01_v203339;TGAM01_v203819;TGAM01_v203820;TGAM01_v203920;TGAM01_v204147;TGAM01_v204315;TGAM01_v204407;TGAM01_v204569;TGAM01_v204571;TGAM01_v204582;TGAM01_v204667;TGAM01_v204786;TGAM01_v204898;TGAM01_v204914;TGAM01_v205002;TGAM01_v205139;TGAM01_v205721;TGAM01_v205778;TGAM01_v205940;TGAM01_v206388;TGAM01_v206455;TGAM01_v206504;TGAM01_v206576;TGAM01_v206915;TGAM01_v207057;TGAM01_v207124;TGAM01_v207169;TGAM01_v207176;TGAM01_v207474;TGAM01_v207746;TGAM01_v207761;TGAM01_v207983;TGAM01_v208264;TGAM01_v208322;TGAM01_v208340;TGAM01_v208515;TGAM01_v208694;TGAM01_v208803;TGAM01_v209020;TGAM01_v209289;TGAM01_v209323;TGAM01_v209379;TGAM01_v209441;TGAM01_v209445;TGAM01_v209514;TGAM01_v209522;TGAM01_v210256;TGAM01_v210377;TGAM01_v210432;TGAM01_v210577,0.99713415
GO:0018576,"catechol 1,2-dioxygenase activity",MF,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v206504,0.647903765
GO:0009712,catechol-containing compound metabolic process,BP,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v206504,0.647903765
GO:0030014,CCR4-NOT complex,CC,2,3,2/1038,3/6466,0.666666667,0.068995127,TGAM01_v205519;TGAM01_v207603,0.449154031
GO:0016593,Cdc73/Paf1 complex,CC,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v205575,0.588877171
GO:0007166,cell surface receptor signaling pathway,BP,1,5,1/1038,5/6466,0.2,0.583234091,TGAM01_v204086,0.709601478
GO:0005618,cell wall,CC,3,10,3/1038,10/6466,0.3,0.207731799,TGAM01_v201394;TGAM01_v202232;TGAM01_v204570,0.522911081
GO:0071467,cellular response to pH,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v206277,0.449154031
GO:0030248,cellulose binding,MF,2,22,2/1038,22/6466,0.090909091,0.889574016,TGAM01_v208263;TGAM01_v208487,0.919340971
GO:0046514,ceramide catabolic process,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v203292,0.528145699
GO:0006672,ceramide metabolic process,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v210114,0.528145699
GO:0005832,chaperonin-containing T-complex,CC,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v203947,0.449154031
GO:0008061,chitin binding,MF,3,19,3/1038,19/6466,0.157894737,0.608594376,TGAM01_v202061;TGAM01_v205751;TGAM01_v205752,0.733785712
GO:0006031,chitin biosynthetic process,BP,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v209884,0.588877171
GO:0004100,chitin synthase activity,MF,1,8,1/1038,8/6466,0.125,0.75358158,TGAM01_v209884,0.81773785
GO:0016977,chitosanase activity,MF,1,5,1/1038,5/6466,0.2,0.583234091,TGAM01_v203343,0.709601478
GO:0006821,chloride transport,BP,3,3,3/1038,3/6466,1,0.00412696,TGAM01_v204789;TGAM01_v205469;TGAM01_v206281,0.449154031
GO:0015109,chromate transmembrane transporter activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v208572,0.449154031
GO:0015703,chromate transport,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v208572,0.449154031
GO:0003682,chromatin binding,MF,1,10,1/1038,10/6466,0.1,0.82643475,TGAM01_v208750,0.870901712
GO:0006325,chromatin organization,BP,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v203518,0.588877171
GO:0006338,chromatin remodeling,BP,1,15,1/1038,15/6466,0.066666667,0.927771062,TGAM01_v205563,0.944233413
GO:0005694,chromosome,CC,2,7,2/1038,7/6466,0.285714286,0.312943106,TGAM01_v203140;TGAM01_v207924,0.542750138
GO:0030261,chromosome condensation,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v200243,0.449154031
GO:0051276,chromosome organization,BP,2,4,2/1038,4/6466,0.5,0.123465117,TGAM01_v203140;TGAM01_v207924,0.449154031
GO:0000775,"chromosome, centromeric region",CC,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v210410,0.528145699
GO:0007623,circadian rhythm,BP,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v200850,0.647903765
GO:0033961,cis-stilbene-oxide hydrolase activity,MF,1,11,1/1038,11/6466,0.090909091,0.854340687,TGAM01_v204571,0.891315511
GO:0008410,CoA-transferase activity,MF,2,4,2/1038,4/6466,0.5,0.123465117,TGAM01_v206505;TGAM01_v209252,0.449154031
GO:0015937,coenzyme A biosynthetic process,BP,2,2,2/1038,2/6466,1,0.025749683,TGAM01_v201878;TGAM01_v206275,0.449154031
GO:0010945,coenzyme A diphosphatase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v203879,0.449154031
GO:0008278,cohesin complex,CC,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v207924,0.588877171
GO:0008180,COP9 signalosome,CC,1,6,1/1038,6/6466,0.166666667,0.650190137,TGAM01_v210309,0.747127675
GO:0030126,COPI vesicle coat,CC,3,5,3/1038,5/6466,0.6,0.0319906,TGAM01_v203358;TGAM01_v205694;TGAM01_v208457,0.449154031
GO:0030127,COPII vesicle coat,CC,2,4,2/1038,4/6466,0.5,0.123465117,TGAM01_v200745;TGAM01_v205470,0.449154031
GO:0090114,COPII-coated vesicle budding,BP,2,2,2/1038,2/6466,1,0.025749683,TGAM01_v200745;TGAM01_v205470,0.449154031
GO:0005507,copper ion binding,MF,5,19,5/1038,19/6466,0.263157895,0.177664616,TGAM01_v200977;TGAM01_v203807;TGAM01_v204670;TGAM01_v204992;TGAM01_v209712,0.468708376
GO:0035434,copper ion transmembrane transport,BP,2,5,2/1038,5/6466,0.4,0.184448128,TGAM01_v202423;TGAM01_v203878,0.468708376
GO:0005375,copper ion transmembrane transporter activity,MF,2,5,2/1038,5/6466,0.4,0.184448128,TGAM01_v202423;TGAM01_v203878,0.468708376
GO:0004109,coproporphyrinogen oxidase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v204923,0.449154031
GO:0009190,cyclic nucleotide biosynthetic process,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v209516,0.449154031
GO:0030332,cyclin binding,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v200365,0.449154031
GO:0061575,cyclin-dependent protein serine/threonine kinase activator activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v202843,0.449154031
GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity,MF,1,6,1/1038,6/6466,0.166666667,0.650190137,TGAM01_v202870,0.747127675
GO:0004817,cysteine-tRNA ligase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v204393,0.449154031
GO:0004843,cysteine-type deubiquitinase activity,MF,4,18,4/1038,18/6466,0.222222222,0.325101013,TGAM01_v200676;TGAM01_v207071;TGAM01_v209303;TGAM01_v209675,0.559006667
GO:0004197,cysteine-type endopeptidase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v204839,0.449154031
GO:0006423,cysteinyl-tRNA aminoacylation,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v204393,0.449154031
GO:0005737,cytoplasm,CC,25,96,25/1038,96/6466,0.260416667,0.007877039,TGAM01_v200137;TGAM01_v200462;TGAM01_v200712;TGAM01_v200798;TGAM01_v200831;TGAM01_v200850;TGAM01_v201677;TGAM01_v202718;TGAM01_v202756;TGAM01_v203089;TGAM01_v203358;TGAM01_v204020;TGAM01_v204858;TGAM01_v205257;TGAM01_v205264;TGAM01_v205700;TGAM01_v206149;TGAM01_v206388;TGAM01_v206995;TGAM01_v207451;TGAM01_v209679;TGAM01_v210092;TGAM01_v210385;TGAM01_v211075;TGAM01_v211150,0.449154031
GO:0005829,cytosol,CC,3,5,3/1038,5/6466,0.6,0.0319906,TGAM01_v203947;TGAM01_v204126;TGAM01_v209515,0.449154031
GO:0003684,damaged DNA binding,MF,2,12,2/1038,12/6466,0.166666667,0.596689558,TGAM01_v207552;TGAM01_v208245,0.724874002
GO:0046416,D-amino acid metabolic process,BP,2,4,2/1038,4/6466,0.5,0.123465117,TGAM01_v206918;TGAM01_v208486,0.449154031
GO:0003884,D-amino-acid oxidase activity,MF,2,4,2/1038,4/6466,0.5,0.123465117,TGAM01_v206918;TGAM01_v208486,0.449154031
GO:0003885,"D-arabinono-1,4-lactone oxidase activity",MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v204841,0.528145699
GO:0042729,DASH complex,CC,2,7,2/1038,7/6466,0.285714286,0.312943106,TGAM01_v204910;TGAM01_v210411,0.542750138
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,BP,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v208700,0.647903765
GO:0019239,deaminase activity,MF,2,7,2/1038,7/6466,0.285714286,0.312943106,TGAM01_v205879;TGAM01_v208565,0.542750138
GO:0019135,deoxyhypusine monooxygenase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v208752,0.449154031
GO:0004140,dephospho-CoA kinase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v206275,0.449154031
GO:0016311,dephosphorylation,BP,3,14,3/1038,14/6466,0.214285714,0.395428446,TGAM01_v200896;TGAM01_v205471;TGAM01_v205699,0.588877171
GO:0005536,D-glucose binding,MF,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v208702,0.647903765
GO:0004160,dihydroxy-acid dehydratase activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v210256,0.528145699
GO:0004164,diphthine synthase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v209791,0.449154031
GO:0003677,DNA binding,MF,59,353,59/1038,353/6466,0.16713881,0.387041026,TGAM01_v200246;TGAM01_v200575;TGAM01_v200590;TGAM01_v200606;TGAM01_v200627;TGAM01_v200747;TGAM01_v200789;TGAM01_v200832;TGAM01_v200977;TGAM01_v201136;TGAM01_v201279;TGAM01_v201636;TGAM01_v202030;TGAM01_v202239;TGAM01_v202309;TGAM01_v202356;TGAM01_v202920;TGAM01_v203012;TGAM01_v203142;TGAM01_v203277;TGAM01_v203556;TGAM01_v203970;TGAM01_v204047;TGAM01_v204313;TGAM01_v204319;TGAM01_v204322;TGAM01_v205081;TGAM01_v205356;TGAM01_v205359;TGAM01_v205945;TGAM01_v206280;TGAM01_v206289;TGAM01_v206650;TGAM01_v206950;TGAM01_v207022;TGAM01_v207054;TGAM01_v207292;TGAM01_v207552;TGAM01_v207610;TGAM01_v207778;TGAM01_v208083;TGAM01_v208085;TGAM01_v208092;TGAM01_v208199;TGAM01_v208321;TGAM01_v208513;TGAM01_v208743;TGAM01_v209018;TGAM01_v209045;TGAM01_v209545;TGAM01_v209557;TGAM01_v209613;TGAM01_v209681;TGAM01_v210121;TGAM01_v210152;TGAM01_v210384;TGAM01_v210394;TGAM01_v210800;TGAM01_v211150,0.588877171
GO:0071897,DNA biosynthetic process,BP,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v206280,0.588877171
GO:0006308,DNA catabolic process,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v202409,0.528145699
GO:0003689,DNA clamp loader activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v205356,0.449154031
GO:0006974,DNA damage response,BP,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v200365,0.647903765
GO:0004520,DNA endonuclease activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v208181,0.528145699
GO:0003678,DNA helicase activity,MF,5,12,5/1038,12/6466,0.416666667,0.031232494,TGAM01_v200246;TGAM01_v207552;TGAM01_v209557;TGAM01_v210152;TGAM01_v210605,0.449154031
GO:0003910,DNA ligase (ATP) activity,MF,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v206280,0.647903765
GO:0003909,DNA ligase activity,MF,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v206280,0.588877171
GO:0030337,DNA polymerase processivity factor activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v207292,0.449154031
GO:0000730,DNA recombinase assembly,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v208627,0.449154031
GO:0006310,DNA recombination,BP,2,11,2/1038,11/6466,0.181818182,0.547375379,TGAM01_v206280;TGAM01_v208627,0.695478528
GO:0006281,DNA repair,BP,11,67,11/1038,67/6466,0.164179104,0.519147502,TGAM01_v200501;TGAM01_v202431;TGAM01_v202920;TGAM01_v203277;TGAM01_v203556;TGAM01_v205356;TGAM01_v205969;TGAM01_v206280;TGAM01_v206289;TGAM01_v208627;TGAM01_v210004,0.664873117
GO:0006260,DNA replication,BP,7,32,7/1038,32/6466,0.21875,0.245478474,TGAM01_v200501;TGAM01_v205356;TGAM01_v205359;TGAM01_v206289;TGAM01_v207054;TGAM01_v209545;TGAM01_v210152,0.528145699
GO:0005663,DNA replication factor C complex,CC,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v205356,0.449154031
GO:0006270,DNA replication initiation,BP,1,11,1/1038,11/6466,0.090909091,0.854340687,TGAM01_v210152,0.891315511
GO:0003700,DNA-binding transcription factor activity,MF,8,55,8/1038,55/6466,0.145454545,0.67632642,TGAM01_v200627;TGAM01_v200977;TGAM01_v202920;TGAM01_v203073;TGAM01_v203556;TGAM01_v205513;TGAM01_v207610;TGAM01_v208622,0.77253217
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,43,345,43/1038,345/6466,0.124637681,0.976715475,TGAM01_v200082;TGAM01_v200478;TGAM01_v200590;TGAM01_v200652;TGAM01_v201029;TGAM01_v201136;TGAM01_v201279;TGAM01_v201457;TGAM01_v201916;TGAM01_v201936;TGAM01_v202027;TGAM01_v202239;TGAM01_v202263;TGAM01_v202356;TGAM01_v203822;TGAM01_v203970;TGAM01_v204045;TGAM01_v204047;TGAM01_v204313;TGAM01_v204319;TGAM01_v204322;TGAM01_v204568;TGAM01_v206026;TGAM01_v207022;TGAM01_v207762;TGAM01_v207778;TGAM01_v207839;TGAM01_v207975;TGAM01_v208083;TGAM01_v208085;TGAM01_v208092;TGAM01_v208147;TGAM01_v208242;TGAM01_v208511;TGAM01_v208538;TGAM01_v209018;TGAM01_v209473;TGAM01_v209613;TGAM01_v210357;TGAM01_v210384;TGAM01_v210394;TGAM01_v210395;TGAM01_v210751,0.980378158
GO:0003887,DNA-directed DNA polymerase activity,MF,1,8,1/1038,8/6466,0.125,0.75358158,TGAM01_v200606,0.81773785
GO:0003899,DNA-directed RNA polymerase activity,MF,4,18,4/1038,18/6466,0.222222222,0.325101013,TGAM01_v203012;TGAM01_v206650;TGAM01_v208321;TGAM01_v209681,0.559006667
GO:0006351,DNA-templated transcription,BP,34,231,34/1038,231/6466,0.147186147,0.739811924,TGAM01_v200575;TGAM01_v200590;TGAM01_v201136;TGAM01_v201279;TGAM01_v201636;TGAM01_v202030;TGAM01_v202239;TGAM01_v202309;TGAM01_v202356;TGAM01_v203012;TGAM01_v203518;TGAM01_v203970;TGAM01_v204047;TGAM01_v204313;TGAM01_v204319;TGAM01_v205081;TGAM01_v205945;TGAM01_v206412;TGAM01_v206650;TGAM01_v206950;TGAM01_v207022;TGAM01_v207778;TGAM01_v208083;TGAM01_v208085;TGAM01_v208092;TGAM01_v208321;TGAM01_v208513;TGAM01_v208751;TGAM01_v209018;TGAM01_v209613;TGAM01_v209681;TGAM01_v209856;TGAM01_v210384;TGAM01_v210394,0.816028812
GO:0006352,DNA-templated transcription initiation,BP,2,13,2/1038,13/6466,0.153846154,0.641851271,TGAM01_v200806;TGAM01_v208186,0.747127675
GO:0006488,dolichol-linked oligosaccharide biosynthetic process,BP,1,7,1/1038,7/6466,0.142857143,0.706397976,TGAM01_v208054,0.786737274
GO:0004169,dolichyl-phosphate-mannose-protein mannosyltransferase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v202310,0.449154031
GO:0006302,double-strand break repair,BP,3,5,3/1038,5/6466,0.6,0.0319906,TGAM01_v200498;TGAM01_v202931;TGAM01_v208181,0.449154031
GO:0000724,double-strand break repair via homologous recombination,BP,2,5,2/1038,5/6466,0.4,0.184448128,TGAM01_v202431;TGAM01_v208627,0.468708376
GO:0006303,double-strand break repair via nonhomologous end joining,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v207552,0.528145699
GO:0045002,double-strand break repair via single-strand annealing,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v208627,0.449154031
GO:0006014,D-ribose metabolic process,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v201773,0.449154031
GO:0004750,D-ribulose-phosphate 3-epimerase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v207169,0.449154031
GO:0047834,D-threo-aldose 1-dehydrogenase activity,MF,6,39,6/1038,39/6466,0.153846154,0.61288021,TGAM01_v200852;TGAM01_v201927;TGAM01_v202121;TGAM01_v202300;TGAM01_v203740;TGAM01_v208558,0.73784529
