GenBank_ID
GCA_038181435.1
GCA_037179535.1
GCA_056248065.1
GCA_054821325.1
GCA_054553065.1
GCA_054098565.1
GCA_053895145.1
GCA_052857265.1
GCA_052814595.1
GCA_052570515.1
GCA_051942675.1
